Unnamed: 0,frequency,identity,letter,letter_index
0,8.167,Suspect 2,A,1
1,1.492,Suspect 2,B,2
2,2.782,Suspect 2,C,3
3,4.253,Suspect 2,D,4
4,12.702,Suspect 2,E,5
5,2.228,Suspect 2,F,6
6,2.015,Suspect 2,G,7
7,6.0939999999999985,Suspect 2,H,8
8,6.966,Suspect 2,I,9
9,0.153,Suspect 2,J,10
10,0.772,Suspect 2,K,11
11,4.025,Suspect 2,L,12
12,2.406,Suspect 2,M,13
13,6.749,Suspect 2,N,14
14,7.5070000000000014,Suspect 2,O,15
15,1.929,Suspect 2,P,16
16,0.095,Suspect 2,Q,17
17,5.987,Suspect 2,R,18
18,6.327000000000001,Suspect 2,S,19
19,9.056,Suspect 2,T,20
20,2.758,Suspect 2,U,21
21,0.978,Suspect 2,V,22
22,2.36,Suspect 2,W,23
23,0.15,Suspect 2,X,24
24,1.974,Suspect 2,Y,25
25,0.07400000000000001,Suspect 2,Z,26
